Code,Ward name,LAD code,Borough,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
E09000001,City of London,E09000001,City of London,"£42,720","£43,620","£45,150","£48,070","£48,380","£51,410","£53,110","£54,960","£57,520","£59,240","£62,290","£63,620"
E05000026,Abbey,E09000002,Barking and Dagenham,"£22,660","£23,050","£23,810","£25,320","£25,490","£27,100","£28,030","£29,050","£30,470","£31,450","£33,140","£33,920"
E05000027,Alibon,E09000002,Barking and Dagenham,"£21,160","£21,590","£22,360","£23,840","£24,050","£25,640","£26,580","£27,610","£29,010","£30,000","£31,670","£32,470"
E05000028,Becontree,E09000002,Barking and Dagenham,"£22,390","£22,740","£23,440","£24,880","£25,000","£26,540","£27,420","£28,390","£29,730","£30,660","£32,270","£33,000"
E05000029,Chadwell Heath,E09000002,Barking and Dagenham,"£23,040","£23,400","£24,120","£25,610","£25,730","£27,320","£28,220","£29,200","£30,580","£31,520","£33,170","£33,920"
E05000030,Eastbrook,E09000002,Barking and Dagenham,"£26,110","£26,460","£27,200","£28,810","£28,870","£30,560","£31,480","£32,500","£33,950","£34,910","£36,660","£37,400"
E05000031,Eastbury,E09000002,Barking and Dagenham,"£22,120","£22,470","£23,170","£24,620","£24,750","£26,300","£27,190","£28,170","£29,530","£30,470","£32,110","£32,870"
E05000032,Gascoigne,E09000002,Barking and Dagenham,"£19,890","£20,190","£20,810","£22,090","£22,210","£23,590","£24,380","£25,260","£26,480","£27,330","£28,790","£29,480"
E05000033,Goresbrook,E09000002,Barking and Dagenham,"£21,460","£21,910","£22,700","£24,230","£24,470","£26,100","£27,080","£28,150","£29,610","£30,650","£32,400","£33,250"
E05000034,Heath,E09000002,Barking and Dagenham,"£20,850","£21,220","£21,920","£23,320","£23,490","£24,990","£25,860","£26,810","£28,130","£29,040","£30,610","£31,340"
E05000035,Longbridge,E09000002,Barking and Dagenham,"£30,090","£30,300","£30,960","£32,580","£32,450","£34,150","£34,980","£35,920","£37,340","£38,210","£39,940","£40,570"
E05000036,Mayesbrook,E09000002,Barking and Dagenham,"£21,190","£21,530","£22,210","£23,600","£23,730","£25,210","£26,070","£27,010","£28,320","£29,230","£30,800","£31,530"
E05000037,Parsloes,E09000002,Barking and Dagenham,"£21,140","£21,510","£22,220","£23,640","£23,810","£25,330","£26,220","£27,200","£28,550","£29,490","£31,100","£31,860"
E05000038,River,E09000002,Barking and Dagenham,"£22,450","£22,840","£23,570","£25,060","£25,210","£26,800","£27,710","£28,710","£30,100","£31,060","£32,720","£33,490"
E05000039,Thames,E09000002,Barking and Dagenham,"£22,000","£22,350","£23,050","£24,490","£24,620","£26,150","£27,030","£27,990","£29,330","£30,250","£31,850","£32,580"
