Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
E05000026,53000,203498,184120,232498,250985,260993,319998,403900,532350,592880,619998,664993,666491,692998,674000,599500,687000,614425,645500,683500,718000,847000,921000
E05000027,45000,182466,195143,216748,234718,276998,330748,401000,520000,602000,636750,642990,693495,755250,667000,628000,640500,640996,683000,783000,915000,1087250,1186500
E05000028,49000,201000,222495,223500,242400,283495,330875,414495,534493,609000,649245,647000,721000,768250,691000,692488,700628,690663,707993,774990,915000,1096500,1199000
E05000029,59000,229000,238488,273198,304250,346498,396250,469000,587500,666250,718993,738000,830250,834750,770500,715000,774000,774750,839750,891998,1013000,1163850,1250000
E05000030,59973,239990,253243,288995,332000,384000,411000,476250,583995,670000,717498,718500,800000,852998,760973,734500,749250,772498,815250,892500,1024995,1244500,1316500
E05000031,49250,195245,197750,215750,239973,291748,331000,418498,540991,608995,662000,664000,711993,788000,664625,655750,680000,685000,739870,819999,950500,1095000,1260250
E05000032,38000,153000,171998,205500,235750,271425,333998,390500,528000,659448,650493,632500,725268,773998,654000,585993,595500,592750,643500,732750,821500,927000,1055000
E05000033,44500,172000,188498,210125,227745,267493,317450,384650,509995,573950,620500,628000,690750,734000,618500,631000,632895,642998,673000,749000,908500,1089000,1186000
E05000034,48500,195666,206748,231495,243500,277745,328000,401750,527246,612500,647995,659000,698000,771625,677500,633000,630750,642000,661000,777500,933250,1103000,1180000
E05000035,75000,306125,327750,372993,410750,480745,513998,618950,799500,905498,938000,959000,1038748,1114000,1015000,1036750,1026000,1011000,1061500,1177498,1347000,1619998,1723500
E05000036,47000,181375,193500,216625,238743,272998,316493,390148,518745,594000,633495,637000,688500,741000,650000,646000,658750,652250,681500,791998,929500,1071500,1184000
E05000037,46000,182750,198250,221500,240995,277495,320750,399250,522490,597000,635745,644000,702995,753498,647750,629000,634000,645000,676250,782500,907000,1092500,1180750
E05000038,44498,178000,188750,210495,234200,272175,316498,385750,511000,582500,624700,638000,687625,741000,637000,625498,620495,637000,661750,762450,901470,1060498,1153750
E05000039,54950,216550,209150,256945,257500,289495,351225,439746,537993,605495,646000,646500,682500,747495,723000,670250,673375,726048,799500,788500,849500,822498,1138238
E05000040,50500,195500,194500,223809,242000,284250,331490,402875,526250,590000,641000,649500,694750,746000,672750,651500,698000,683500,684698,785500,967995,1097500,1220000
E05000041,40500,178745,174750,200016,215373,228815,256495,345500,444245,525743,614475,629000,632750,697250,663500,634500,664000,630000,694225,774995,870000,1017750,1187000
E05000042,56250,230250,236995,259125,276746,330248,391248,476998,590248,678373,711473,749000,792000,880000,737000,743750,770500,781500,798500,897498,1008600,1200000,1363000
E05000043,85000,359900,411000,487500,521000,628475,744500,843000,982000,1039750,1108500,1120250,1225000,1324140,1163500,1321750,1382000,1381000,1492950,1640000,1799875,2078975,2230000
E05000044,58000,240000,263523,305175,341250,426475,485500,553475,673598,755855,829443,826948,869475,950925,843000,816450,903435,924000,970000,997950,1197975,1321000,1465000
E05000045,88000,358500,487500,528425,543075,704000,648750,723250,990425,1022200,1007500,1118125,1135975,1260500,1426250,1686525,1598500,1765000,2013000,1893000,2611500,2115000,2485500
E05000046,59000,249118,245925,291000,323725,381575,446950,544925,657250,702950,759998,773500,855460,962125,941900,891000,912550,996230,1023525,1142200,1285000,1403675,1588000
